AET_mm,DTR_C,FacilityName,P95_threshold_mm,PET_mm,P_mean_mm,P_total_mm,T_max_C,T_mean_C,T_min_C,VPD_kPa,deficit_mm,dewpoint_C,elevation_m,heavy_days_per_year,hot_days_per_year,lat,lon,runoff_mm,soil_moisture_mm,wetday_frac,wind_speed_ms,start_date,end_date,buffer_m,scale_m,extraction_date,climate_k
262.045652625026,11.569720983505247,AL-Baqea Comprehensive Center,8.20147644718991,1345.6145811717506,1.150199511886146,2134.7703279605807,25.21139217738448,19.22571745494281,13.641671193879231,13.514525835235524,1083.567752645777,8.638699489900546,886.1906779661016,17.848118401489522,42.30988011853448,32.04121313,35.71074843,4.529639620944871,138.50923428097116,0.0911947111887094,1.425282996605589,2019-01-01,2024-01-31,2500,5000,2026-02-11,2
162.02631216420997,12.718597088852194,AL-Mafraq Hospital,2.5532702758532615,1388.5076456812235,0.4584639931426329,850.9091860996724,24.26619233710634,17.801452907278993,11.54759524825415,15.122978371676538,1226.509574321532,7.933018476924306,702.6068376068376,18.43874001648073,32.47698790884888,32.34492,36.20438,0.8389585342333655,33.879322220691556,0.0589548319327731,2.8286851961508788,2019-01-01,2024-01-31,2500,5000,2026-02-11,1
222.88705195887744,10.34734509570915,AL-Nadeem Hospital,6.658820895825402,1374.6982495137538,0.9838378750166652,1826.0030827923572,23.786500700156942,18.555345026888546,13.439155604447764,14.537149208113366,1151.819324812448,7.49514180407684,776.2875536480686,18.088015757415256,16.36860360123831,31.71618472,35.7775367,1.9715893303695473,86.57842456237843,0.079458284628872,2.0046390246453476,2019-01-01,2024-01-31,2500,5000,2026-02-11,0
254.573331381733,12.632704190946566,AL-Ramtha Hospital,4.302786386438778,1378.7540251756438,0.8341281677463224,1548.1418924785528,25.667267843141374,19.034553616740045,13.034563652194793,14.622445843091336,1124.147175058548,9.761141965973003,518.6822033898305,18.225051143251616,48.03963589372306,32.5667,36.01693,2.8311621779859486,117.71962822014054,0.067457377616995,2.254232381182955,2019-01-01,2024-01-31,2500,5000,2026-02-11,5
112.33235252907384,11.153082000798191,AL-Shuneh Hospital,,1556.2676194479473,,,28.38092474773015,22.59797481915001,17.22784274693197,21.372278268179908,1443.9134790528233,12.1309374140597,-211.06250000000003,,100.75655172413794,31.8915,35.6178,0.6281350707580216,4.388538601653355,,1.3669104664780176,2019-01-01,2024-01-31,2500,5000,2026-02-11,4
158.06987249544625,12.672491804320238,AL-Zarqa Hospital,1.6741130367914836,1402.1712204007283,0.4782275047567155,887.5902612098569,25.166207597995633,18.873279422580783,12.493715793675417,15.362418943533696,1244.1080510018217,8.236495312804422,617.6864406779661,18.115188362068963,42.361482866379305,32.07275,36.08796,0.8069216757741348,21.292750455373405,0.0530603448275862,2.8419732921889898,2019-01-01,2024-01-31,2500,5000,2026-02-11,1
218.99749930536265,11.866943556686929,Abu Alanda CC,3.6143592656668977,1352.2429146985276,0.5652318465507638,1049.0703227888373,24.7162692349533,18.735909624483213,12.849325678266323,14.257772992497918,1133.2543067518754,7.505161671255166,912.4255319148936,18.539965994392897,33.847904094827584,31.90052,35.9686,1.8467629897193665,60.96360100027786,0.0611941116306253,2.611625172401661,2019-01-01,2024-01-31,2500,5000,2026-02-11,5
231.44482834668824,10.260503530428585,Ader Primary Center,5.314150138820768,1361.7304271116664,0.603202861788027,1119.5444898467376,23.210617610647702,18.10775280568868,12.95011408021911,14.758163640373448,1130.3015511284275,6.7050562658269115,940.7662337662338,18.018211122332612,12.300707455881785,31.20217,35.76155,3.1504079982356834,117.63750643240462,0.0701759896397093,2.025483045290717,2019-01-01,2024-01-31,2500,5000,2026-02-11,7
236.48740844087897,10.393231646767978,Adnaniyyeh Primary Center,5.5136890695450145,1344.3665155214508,0.6919149497722057,1284.1941431762027,23.13412801643898,17.987554899029192,12.74089636967102,14.3684269271015,1107.885873735612,6.438956460185409,1111.8362831858408,18.46310216434336,13.184939385775865,31.12159121,35.69436754,3.851900941750959,130.88636205092428,0.0724642333088774,1.8834828961024577,2019-01-01,2024-01-31,2500,5000,2026-02-11,7
232.32974437343705,11.709088350896035,Ain Al-Basha Comprehensive Center,6.488333599042084,1354.8419005279245,0.9083625755067598,1685.9209055029442,23.910308623251225,17.892403894977477,12.20122027235516,14.24752709085857,1122.4750625173658,6.893006603420091,816.1181434599156,18.57248639889867,24.69883029387054,32.05726,35.83109,2.5295220894692965,92.89795776604612,0.0811728338690824,1.77013402728607,2019-01-01,2024-01-31,2500,5000,2026-02-11,0
