hsa_id,fac_type,governorate,fac_type_score,urban_bonus,infra_quality,note_infra,jmp_san_pct,jmp_wat_pct,infra_quality_label
Princess_Rahma_Hospital,Specialized Medical Center,Irbid,4,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Princess_Raya_Hospital,Hospital,Irbid,3,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Princess_Salma_Hospital,Hospital,Madaba,3,0.0,0.68606,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.016,68.6% safely managed sanitation
Qadisiyah_Primary_Center,Primary Center,Jarash,1,0.0,0.63458,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458,81.939,63.5% safely managed sanitation
Qafqafa_Primary_Center,Primary Center,Jarash,1,0.0,0.63458,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458,81.939,63.5% safely managed sanitation
Qaser_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Qasr_Al-Adel_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Qatraneh_Comprehansive_Center,Comprehensive Center,Karak,2,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Queen_Rania_Hospital,Hospital,Ma'an,3,0.0,0.648,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),64.8,82.1,64.8% safely managed sanitation
Qusour_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Qwaismeh_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Raboah_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Rakeen_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Rama_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Ramtha_Comprehensive_Center,Comprehensive Center,Irbid,2,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Ramtha_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Rehab_Comprehensive_Center,Comprehensive Center,Mafraq,2,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Rubba_Compreahnsive_Center,Comprehensive Center,Karak,2,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Rumman_Primary_Center,Primary Center,Balqa,1,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Sahab_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Salhob_Primary_Center,Primary Center,Balqa,1,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Sarfa_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Shafa_Badran_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Shehabyyeh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Smakiyyeh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Sool_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Souf_Primary_Center,Primary Center,Jarash,1,0.0,0.63458,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458,81.939,63.5% safely managed sanitation
South_Mafraq_Primary_Center,Primary Center,Mafraq,1,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
South_Mazar_Comprehensive_Center,Comprehensive Center,Karak,2,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Swaileh_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Swaqa_Correctional_Primary,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Tabarbour_ Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Tafilah_Governmental_Hospital,Hospital,Tafila,3,0.0,0.65141,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.141,82.291,65.1% safely managed sanitation
Tafileh_Compreahnsive_Center,Comprehensive Center,Tafila,2,0.0,0.65141,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.141,82.291,65.1% safely managed sanitation
Thaniyyeh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
That_Ras__Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Theeban_Comprehensive_Center,Comprehensive Center,Madaba,2,0.0,0.68606,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.016,68.6% safely managed sanitation
Tlaa_Al-Ali_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Um_Al-Naam_Primary_Center,Primary Center,Mafraq,1,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Um_Nowara_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Um_Qsair_Al-Mogabalen_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Umro__Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Wadi_Al-Hajar_Comprehensive_Center,Comprehensive Center,Zarqa,2,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Wadi_Al-Karak_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Wadi_Al-Ser_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
West_Ramtha_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
West_Thhaibeh_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Yarmouk_University_Comprehensive_Center,Comprehensive Center,Irbid,2,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Yaroot_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Zarqa_Comprehensive_Center,Comprehensive Center,Zarqa,2,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Zarqa_Urban_Development_Primary_Center,Primary Center,Zarqa,1,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Zuhoor_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
