hsa_id,fac_type,governorate,fac_type_score,urban_bonus,infra_quality,note_infra,jmp_san_pct,jmp_wat_pct,infra_quality_label
Bushra_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Damneh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Dhaheyat_Al-Hussein_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Dr._Jamel_Al-Totanji_Hospital,Hospital,Amman,3,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
East_Madaba_Comprehensive_Center,Comprehensive Center,Madaba,2,0.0,0.68606,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.016,68.6% safely managed sanitation
East_Thhaibeh_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Ein_Jana_Primary_Center,Primary Center,Ajloun,1,0.0,0.60983,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),60.983,81.422,61.0% safely managed sanitation
Eskan_Abu-Nsseir_Al-Shamel_Al-Tadribi,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Eydoun_Bani_Hassan_Primary_Center,Primary Center,Mafraq,1,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Faqqou_Comprehensive_Center,Comprehensive Center,Karak,2,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Fuhais_Comprehensive_Center,Comprehensive Center,Ajloun,2,0.0,0.60983,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),60.983,81.422,61.0% safely managed sanitation
Ghwayyer_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Hashemieh_Housing_Comprehensive_Center,Comprehensive Center,Zarqa,2,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Hashemiyyah_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Hawiyyeh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Hay_Al-Hussein_Primary_Center,Primary Center,Mafraq,1,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Hay_Al-Rsheed_Comprehensive_Center,Comprehensive Center,Zarqa,2,1.0,0.81674,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.674,85.748,81.7% safely managed sanitation
Howara_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Husban_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Husseinieh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Ibn_Sina_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Iraq_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Irbid_Urban_Development_Primary_Center,Primary Center,Irbid,1,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Istiqlal_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Jabal_Amman_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Jadaa_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Jarash_Comprehensive_Center,Comprehensive Center,Jarash,2,0.0,0.63458,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458,81.939,63.5% safely managed sanitation
Jarash_Hospital,Hospital,Jarash,3,0.0,0.63458,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458,81.939,63.5% safely managed sanitation
Jdaideh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Jizeh_Compreahnsive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Jouza_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Jowaideh_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Jubaiha_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Jufeh_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Karak_Comprehensive_Center,Comprehensive Center,Karak,2,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Karak_Taibeh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Khaldieh_Comprehensive_Center,Comprehensive Center,Mafraq,2,0.5,0.63623,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.623,81.974,63.6% safely managed sanitation
Khazzan_Primary_Center,Primary Center,Aqaba,1,1.0,0.75536,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),75.536,84.465,75.5% safely managed sanitation
Khraibet_Al_Souq_Comprehensive_Center,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Kufur_Khal_Primary_Center,Primary Center,Jarash,1,0.0,0.63458,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),63.458,81.939,63.5% safely managed sanitation
Kufur_Yuba_Comprehensive_Center,Comprehensive Center,Irbid,2,0.5,0.73259,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),73.259,83.989,73.3% safely managed sanitation
Kuthraba_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
